dataset,column,classification,source_system,source_object,source_field,transformation,business_definition,keep_change_remove,notes
people_bronze.people_location / people_silver.people_location,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_location / people_silver.people_location,location_id,SYNTHETIC_EXTENSION,frappe_hr,Branch,name / branch,invented US-NY codes,Location key,change,Branch DocType has a single Data field `branch`. Use Branch.name.
people_bronze.people_location / people_silver.people_location,location_name,SOURCE_NATIVE,frappe_hr,Branch,branch,identity,Branch name,keep,Source-native once Branch is the bronze object.
people_bronze.people_location / people_silver.people_location,country,UNJUSTIFIED,,,,hardcoded in PEOPLE_LOCATIONS,Country,remove,"Not on Branch. Optional people_ref_branch_geo is a separate documented map, not Bronze."
people_bronze.people_location / people_silver.people_location,region,UNJUSTIFIED,,,,hardcoded AMER/EMEA/APAC,Region,remove,Same as country.
people_bronze.people_location / people_silver.people_location,city,UNJUSTIFIED,,,,hardcoded city,City,remove,Same as country.
people_bronze.people_location / people_silver.people_location,pay_multiplier,UNJUSTIFIED,,,,hardcoded 0.38–1.22,Geo pay differential,remove,Not an HRIS field. Compensation comes from Salary Structure Assignment.base / currency.
people_bronze.people_job / people_silver.people_job,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_job / people_silver.people_job,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_job / people_silver.people_job,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_job / people_silver.people_job,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_job / people_silver.people_job,job_id,SYNTHETIC_EXTENSION,frappe_hr,Designation,name,JOB-family-level catalog,Job key,change,Designation is designation_name. Grade is a separate Employee Grade / assignment.grade.
people_bronze.people_job / people_silver.people_job,job_title,SOURCE_NATIVE,frappe_hr,Designation,designation_name,identity,Job title,change,
people_bronze.people_job / people_silver.people_job,job_family,UNJUSTIFIED,,,,split from invented job_id,Job family,remove,"Designation.json has designation_name and description only. Family requires a documented map, not a source field."
people_bronze.people_job / people_silver.people_job,job_level,SYNTHETIC_EXTENSION,frappe_hr,Employee Grade / Salary Structure Assignment,grade,IC/M/DIR catalog,Level,change,Source is Employee Grade.name or assignment.grade. IC1–C codes are invented.
people_bronze.people_job / people_silver.people_job,occupation_id,DERIVED,onet,Occupation Data,O*NET-SOC Code,manual designation→SOC map (currently hardcoded on synthetic jobs),Occupation code,change,Valid as DERIVED only after an explicit designation/job→O*NET map. Today it is baked into the generator.
people_bronze.people_job / people_silver.people_job,base_salary,UNJUSTIFIED,frappe_hr,Salary Structure Assignment / Employee Grade,base / default_base_pay,pay midpoint invented on the job row,Job midpoint salary,remove,Pay lives on Salary Structure Assignment.base (and Grade.default_base_pay). Not a Designation field.
people_bronze.people_job / people_silver.people_job,is_manager,UNJUSTIFIED,,,,True for M*/DIR/VP/C in PEOPLE_LEVELS,Manager flag,remove,Not on Designation. Span/manager metrics must use reports_to.
people_bronze.people_assignment / people_silver.people_assignment,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_assignment / people_silver.people_assignment,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_assignment / people_silver.people_assignment,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_assignment / people_silver.people_assignment,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_assignment / people_silver.people_assignment,assignment_id,SYNTHETIC_EXTENSION,,,,worker_id-A0,Current assignment surrogate,remove,Frappe has no assignment table. Current org/job/location are Employee master fields; history is Transfer/Promotion Property History.
people_bronze.people_assignment / people_silver.people_assignment,worker_id,CANONICAL_KEY,frappe_hr,Employee,name,identity,Worker,change,Replace assignment grain with worker events.
people_bronze.people_assignment / people_silver.people_assignment,job_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,designation,copied current state,Job on assignment,remove,Wide current-state assignment table is not a source object.
people_bronze.people_assignment / people_silver.people_assignment,org_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,department,copied current state,Org on assignment,remove,
people_bronze.people_assignment / people_silver.people_assignment,location_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,branch,copied current state,Location on assignment,remove,
people_bronze.people_assignment / people_silver.people_assignment,manager_worker_id,SOURCE_NATIVE,frappe_hr,Employee,reports_to,copied current state,Manager on assignment,remove,Persist on Employee bronze; changes via Property History.
people_bronze.people_assignment / people_silver.people_assignment,effective_start,UNJUSTIFIED,frappe_hr,Employee,date_of_joining,copied hire_date,Assignment start,remove,Not Frappe transfer_date. Hire is Employee.date_of_joining / hire event.
people_bronze.people_assignment / people_silver.people_assignment,effective_end,UNJUSTIFIED,frappe_hr,Employee,relieving_date,copied termination_date,Assignment end,remove,
people_bronze.people_movement / people_silver.people_movement,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_movement / people_silver.people_movement,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_movement / people_silver.people_movement,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_movement / people_silver.people_movement,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_movement / people_silver.people_movement,event_id,CANONICAL_KEY,frappe_hr,Employee Transfer / Promotion / Separation / Employee,name,invented worker-type ids,Movement event key,change,Must be source record id of Transfer/Promotion/Separation or hire from Employee.
people_bronze.people_movement / people_silver.people_movement,worker_id,CANONICAL_KEY,frappe_hr,Employee Transfer,employee,identity,Worker on the event,keep,Keep as canonical after mapping.
people_bronze.people_movement / people_silver.people_movement,event_type,SYNTHETIC_EXTENSION,frappe_hr,multiple,,sampled hire/termination/promotion/lateral/manager_change/location_transfer,Event class,change,"Must be determined by source object, not independent sampling. Laterals/manager_change/location_transfer are Property History property names, not random event_types."
people_bronze.people_movement / people_silver.people_movement,event_date,UNJUSTIFIED,frappe_hr,Employee Transfer,transfer_date,random offset from hire for transfers,Effective date,change,Transfers MUST use transfer_date. Promotions use promotion_date. Today location_transfer dates are sampled and unrelated to Frappe.
people_bronze.people_movement / people_silver.people_movement,org_id,UNJUSTIFIED,frappe_hr,Employee Property History,new where property=Department,wide current org on the event row,Org after move,remove,Replace with people_silver_worker_event_change.attribute_name/old_value/new_value.
people_bronze.people_movement / people_silver.people_movement,job_id,UNJUSTIFIED,frappe_hr,Employee Property History,new where property=Designation,wide current job on the event row,Job after move,remove,Same. One transfer becomes N change rows.
people_bronze.people_movement / people_silver.people_movement,location_id,UNJUSTIFIED,frappe_hr,Employee Property History,new where property=Branch,wide current location on the event row,Location after move,remove,Same.
people_bronze.people_movement / people_silver.people_movement,reason,SOURCE_NATIVE,frappe_hr,Employee,reason_for_leaving,populated only for termination,Exit reason,change,Valid on separation/employee; null on transfer.
people_bronze.people_compensation / people_silver.people_compensation,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_compensation / people_silver.people_compensation,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_compensation / people_silver.people_compensation,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_compensation / people_silver.people_compensation,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_compensation / people_silver.people_compensation,compensation_id,CANONICAL_KEY,frappe_hr,Salary Structure Assignment,name,invented COMP ids,Compensation record key,change,Use assignment name plus salary slip name for paid amounts.
people_bronze.people_compensation / people_silver.people_compensation,worker_id,CANONICAL_KEY,frappe_hr,Salary Structure Assignment,employee,identity,Worker,keep,
people_bronze.people_compensation / people_silver.people_compensation,effective_date,SOURCE_NATIVE,frappe_hr,Salary Structure Assignment,from_date,identity,Pay effective date,change,"Must be from_date, not hire_date plus noise."
people_bronze.people_compensation / people_silver.people_compensation,currency,SOURCE_NATIVE,frappe_hr,Salary Structure Assignment,currency,identity,Currency,keep,
people_bronze.people_compensation / people_silver.people_compensation,base_salary,SOURCE_NATIVE,frappe_hr,Salary Structure Assignment,base,currently job.base_salary * pay_multiplier * uniform noise,Base pay,change,Source field is base. pay_multiplier and uniform noise are not source.
people_bronze.people_compensation / people_silver.people_compensation,pay_rate_type,UNJUSTIFIED,,,,constant annual,Pay frequency label,remove,Not on Salary Structure Assignment. Payroll frequency lives on Salary Structure / Salary Slip.
people_bronze.people_performance_review / people_silver.people_performance_review,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_performance_review / people_silver.people_performance_review,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_performance_review / people_silver.people_performance_review,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_performance_review / people_silver.people_performance_review,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_performance_review / people_silver.people_performance_review,review_id,CANONICAL_KEY,frappe_hr,Appraisal,name,invented PR ids,Appraisal key,change,
people_bronze.people_performance_review / people_silver.people_performance_review,worker_id,CANONICAL_KEY,frappe_hr,Appraisal,employee,identity,Employee appraised,keep,
people_bronze.people_performance_review / people_silver.people_performance_review,review_date,SYNTHETIC_EXTENSION,frappe_hr,Appraisal / Appraisal Cycle,start_date / end_date,fixed Nov 15 sample,Review date,change,Use Appraisal Cycle dates or Appraisal creation/modified. There is no review_date field on Appraisal.
people_bronze.people_performance_review / people_silver.people_performance_review,rating,SYNTHETIC_EXTENSION,frappe_hr,Appraisal,final_score / total_score,independent 1–5 choice,Integer rating,change,"Source scores are Float final_score, total_score, self_score, avg_feedback_score. Do not invent a 1–5 scale unless a documented discretization is approved."
people_bronze.people_performance_review / people_silver.people_performance_review,rating_label,UNJUSTIFIED,,,,below/developing/meets/exceeds/outstanding,Rating label,remove,Not a Frappe Appraisal field.
people_bronze.people_engagement_response / people_silver.people_engagement_response,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_engagement_response / people_silver.people_engagement_response,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_engagement_response / people_silver.people_engagement_response,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_engagement_response / people_silver.people_engagement_response,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_engagement_response / people_silver.people_engagement_response,response_id,UNJUSTIFIED,,,,invented ENG ids,Survey response key,remove,Pinned Frappe HR set has no Engagement Survey DocType. No source contract.
people_bronze.people_engagement_response / people_silver.people_engagement_response,worker_id,UNJUSTIFIED,,,,,Respondent,remove,No source.
people_bronze.people_engagement_response / people_silver.people_engagement_response,survey_date,UNJUSTIFIED,,,,fixed May 20 sample,Survey date,remove,No source.
people_bronze.people_engagement_response / people_silver.people_engagement_response,engagement_score,UNJUSTIFIED,,,,randint 45–96,Engagement score,remove,Dashboard engagement_score currently depends on this unjustified field.
people_bronze.people_worker_skill / people_silver.people_worker_skill,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_worker_skill / people_silver.people_worker_skill,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_worker_skill / people_silver.people_worker_skill,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_worker_skill / people_silver.people_worker_skill,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_worker_skill / people_silver.people_worker_skill,worker_id,CANONICAL_KEY,frappe_hr,Employee Skill Map,employee,identity,Employee,keep,
people_bronze.people_worker_skill / people_silver.people_worker_skill,skill_id,SYNTHETIC_EXTENSION,frappe_hr,Employee Skill,skill,skill_python etc from PEOPLE_SKILLS,Skill key,change,Must be Skill.name from Frappe Skill DocType. O*NET skills stay in the external catalog.
people_bronze.people_worker_skill / people_silver.people_worker_skill,proficiency,SOURCE_NATIVE,frappe_hr,Employee Skill,proficiency,randint 1–4 vs Frappe Rating,Proficiency,change,Source type is Rating. evaluation_date is also on the child table and is currently dropped.
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,source_system,SYNTHETIC_EXTENSION,globaltech_lms,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,source_record_id,CANONICAL_KEY,globaltech_lms,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,source_updated_at,SYNTHETIC_EXTENSION,globaltech_lms,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,enrollment_id,CANONICAL_KEY,frappe_hr,Training Event.employees / Training Result,name,invented LRN ids,Internal enrollment key,change,"Internal LMS is Frappe Training Event + Training Result, not COURSE-xxx."
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,worker_id,CANONICAL_KEY,frappe_hr,Training Event Employee,employee,identity,Learner,keep,
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,course_id,UNJUSTIFIED,frappe_hr,Training Program / Training Event,name / event_name,COURSE-001..080 invented catalog,Course,remove,Must be Training Program/Event name. Keep Microsoft Learn catalog separate.
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,enrolled_on,SYNTHETIC_EXTENSION,frappe_hr,Training Event,start_time,random offset from hire,Enrollment date,change,Use event start_time / employee child dates if present.
people_bronze.people_learning_enrollment / people_silver.people_learning_enrollment,status,SYNTHETIC_EXTENSION,frappe_hr,Training Event,event_status,constant completed,Enrollment status,change,Source event_status is Scheduled/Completed/Cancelled.
people_bronze.people_learning_completion / people_silver.people_learning_completion,source_system,SYNTHETIC_EXTENSION,globaltech_lms,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_learning_completion / people_silver.people_learning_completion,source_record_id,CANONICAL_KEY,globaltech_lms,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_learning_completion / people_silver.people_learning_completion,source_updated_at,SYNTHETIC_EXTENSION,globaltech_lms,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_learning_completion / people_silver.people_learning_completion,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_learning_completion / people_silver.people_learning_completion,completion_id,CANONICAL_KEY,frappe_hr,Training Result,name,invented,Completion key,change,
people_bronze.people_learning_completion / people_silver.people_learning_completion,enrollment_id,CANONICAL_KEY,frappe_hr,Training Result,training_event,identity,Parent event,change,
people_bronze.people_learning_completion / people_silver.people_learning_completion,worker_id,CANONICAL_KEY,frappe_hr,Training Result.employees,employee,identity,Learner,keep,
people_bronze.people_learning_completion / people_silver.people_learning_completion,course_id,UNJUSTIFIED,,,,COURSE-xxx,Course,remove,Same as enrollment.
people_bronze.people_learning_completion / people_silver.people_learning_completion,completed_on,SYNTHETIC_EXTENSION,frappe_hr,Training Event,end_time,enrolled_on + 1–20 days,Completion date,change,Use Training Event.end_time / Result submission.
people_bronze.people_learning_completion / people_silver.people_learning_completion,hours,UNJUSTIFIED,,,,choice 1/2/4/6/8,Learning hours,remove,Not on Training Event/Result in the pinned schema. Derive only if a source duration field is added.
people_bronze.people_requisition / people_silver.people_requisition,source_system,SYNTHETIC_EXTENSION,globaltech_ats,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_requisition / people_silver.people_requisition,source_record_id,CANONICAL_KEY,globaltech_ats,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_requisition / people_silver.people_requisition,source_updated_at,SYNTHETIC_EXTENSION,globaltech_ats,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_requisition / people_silver.people_requisition,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_requisition / people_silver.people_requisition,requisition_id,SYNTHETIC_EXTENSION,greenhouse_v3,jobs / openings,id,REQ######,Requisition key,change,Greenhouse Job is the requisition; Opening is the headcount slot. Do not invent REQ ids.
people_bronze.people_requisition / people_silver.people_requisition,job_id,SYNTHETIC_EXTENSION,greenhouse_v3,jobs,id,random internal job_id,Linked HR job,change,"Use Greenhouse job.id. Crosswalk to Frappe Designation via mapping, not name."
people_bronze.people_requisition / people_silver.people_requisition,location_id,SYNTHETIC_EXTENSION,greenhouse_v3,offices / openings,office_ids / opening location,random US-NY etc,Req location,change,Use Greenhouse office / opening fields.
people_bronze.people_requisition / people_silver.people_requisition,opened_on,SOURCE_NATIVE,greenhouse_v3,openings / jobs,opened_at / created_at,random date in history window,Opened date,change,Opening.opened_at is the source for a filled slot.
